iter	Passed	Remaining
920	1260	108
921	1261	106
922	1262	105
923	1263	103
924	1264	102
925	1265	101
926	1266	99
927	1267	98
928	1268	96
929	1269	95
930	1270	94
931	1271	92
932	1272	91
933	1273	90
934	1274	88
935	1275	87
936	1276	85
937	1277	84
938	1278	83
939	1279	81
940	1280	80
941	1281	78
942	1282	77
943	1283	76
944	1284	74
945	1285	73
946	1287	72
947	1288	70
948	1289	69
949	1289	67
950	1290	66
951	1291	65
952	1292	63
953	1293	62
954	1294	61
955	1295	59
956	1296	58
957	1297	56
958	1298	55
959	1299	54
960	1300	52
961	1302	51
962	1303	50
963	1304	48
964	1305	47
965	1306	45
966	1307	44
967	1308	43
968	1309	41
969	1310	40
970	1311	39
971	1312	37
972	1313	36
973	1314	35
974	1315	33
975	1317	32
976	1318	31
977	1319	29
978	1320	28
979	1321	26
980	1322	25
981	1323	24
982	1324	22
983	1325	21
984	1326	20
985	1328	18
986	1328	17
987	1330	16
988	1331	14
989	1333	13
990	1334	12
991	1335	10
992	1336	9
993	1337	8
994	1338	6
995	1339	5
996	1340	4
997	1341	2
998	1342	1
999	1343	0
